"109年12月29日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","3481  ","群創            ","17,553,000","50,000","17,503,000",
" ","2014  ","中鴻            ","5,415,000","1,525,000","3,890,000",
" ","2409  ","友達            ","2,995,000","543,000","2,452,000",
" ","2303  ","聯電            ","4,876,930","2,735,000","2,141,930",
" ","1309  ","台達化          ","1,500,000","0","1,500,000",
" ","2337  ","旺宏            ","1,549,000","100,000","1,449,000",
" ","2351  ","順德            ","1,355,000","0","1,355,000",
" ","2606  ","裕民            ","1,200,000","0","1,200,000",
" ","2504  ","國產            ","1,000,000","100,000","900,000",
" ","2542  ","興富發          ","725,000","0","725,000",
" ","3037  ","欣興            ","700,000","1,000","699,000",
" ","2615  ","萬海            ","992,000","302,000","690,000",
" ","2002  ","中鋼            ","639,860","0","639,860",
" ","2449  ","京元電子        ","647,000","60,000","587,000",
" ","5522  ","遠雄            ","578,000","0","578,000",
" ","3034  ","聯詠            ","595,780","57,000","538,780",
" ","2455  ","全新            ","520,000","75,000","445,000",
" ","6278  ","台表科          ","433,000","3,000","430,000",
" ","1802  ","台玻            ","416,000","1,000","415,000",
" ","3708  ","上緯投控        ","321,000","0","321,000",
" ","4961  ","天鈺            ","285,000","0","285,000",
" ","2408  ","南亞科          ","1,411,110","1,209,000","202,110",
" ","1476  ","儒鴻            ","220,000","19,000","201,000",
" ","3443  ","創意            ","171,000","0","171,000",
" ",="00663L","國泰臺灣加權正2 ","164,000","0","164,000",
" ","1301  ","台塑            ","236,660","83,000","153,660",
" ","1312  ","國喬            ","140,000","0","140,000",
" ","2355  ","敬鵬            ","115,000","0","115,000",
" ",="0056  ","元大高股息      ","114,000","0","114,000",
" ","2027  ","大成鋼          ","804,000","700,000","104,000",
" ","2344  ","華邦電          ","1,560,000","1,459,000","101,000",
" ","6706  ","惠特            ","101,000","0","101,000",
" ","2342  ","茂矽            ","100,000","0","100,000",
" ","2727  ","王品            ","96,000","0","96,000",
" ",="0050  ","元大台灣50      ","94,000","0","94,000",
" ","9914  ","美利達          ","94,000","0","94,000",
" ","2454  ","聯發科          ","90,020","1,000","89,020",
" ","2233  ","宇隆            ","85,000","0","85,000",
" ","2049  ","上銀            ","65,000","0","65,000",
" ","1530  ","亞崴            ","60,000","0","60,000",
" ","2006  ","東和鋼鐵        ","656,000","600,000","56,000",
" ","1303  ","南亞            ","238,720","183,000","55,720",
" ","3665  ","貿聯-KY         ","54,000","0","54,000",
" ","4968  ","立積            ","110,000","70,000","40,000",
" ","2327  ","國巨            ","69,620","30,000","39,620",
" ","6456  ","GIS-KY          ","33,000","0","33,000",
" ","2308  ","台達電          ","28,950","2,000","26,950",
" ","8462  ","柏文            ","17,000","0","17,000",
" ","2353  ","宏碁            ","18,000","3,000","15,000",
" ","2015  ","豐興            ","14,000","0","14,000",
" ","2371  ","大同            ","14,000","0","14,000",
" ","2884  ","玉山金          ","22,300","11,000","11,300",
" ","5880  ","合庫金          ","19,130","8,000","11,130",
" ","2880  ","華南金          ","19,090","8,000","11,090",
" ","2885  ","元大金          ","21,890","11,000","10,890",
" ","3702  ","大聯大          ","10,000","0","10,000",
" ","2887  ","台新金          ","18,150","9,000","9,150",
" ","2352  ","佳世達          ","9,000","0","9,000",
" ","2801  ","彰銀            ","13,880","6,000","7,880",
" ","2633  ","台灣高鐵        ","9,850","2,000","7,850",
" ","3706  ","神達            ","5,000","0","5,000",
" ","9933  ","中鼎            ","5,000","0","5,000",
" ","6505  ","台塑化          ","5,860","1,000","4,860",
" ","5876  ","上海商銀        ","4,480","0","4,480",
" ","2915  ","潤泰全          ","4,000","0","4,000",
" ","2395  ","研華            ","4,560","1,000","3,560",
" ","1215  ","卜蜂            ","3,000","0","3,000",
" ","2345  ","智邦            ","4,000","1,000","3,000",
" ","2376  ","技嘉            ","3,000","0","3,000",
" ","2441  ","超豐            ","3,000","0","3,000",
" ","2812  ","台中銀          ","3,000","0","3,000",
" ","2207  ","和泰車          ","2,440","0","2,440",
" ","2451  ","創見            ","2,000","0","2,000",
" ","2618  ","長榮航          ","2,000","0","2,000",
" ","2867  ","三商壽          ","2,000","0","2,000",
" ","2897  ","王道銀行        ","2,000","0","2,000",
" ","6285  ","啟碁            ","2,000","0","2,000",
" ","8150  ","南茂            ","2,000","0","2,000",
" ","1590  ","亞德客-KY       ","1,000","0","1,000",
" ","1722  ","台肥            ","2,000","1,000","1,000",
" ","2227  ","裕日車          ","1,000","0","1,000",
" ","2458  ","義隆            ","2,000","1,000","1,000",
" ","2634  ","漢翔            ","1,000","0","1,000",
" ","2707  ","晶華            ","1,000","0","1,000",
" ","2809  ","京城銀          ","1,000","0","1,000",
" ","2820  ","華票            ","1,000","0","1,000",
" ","2855  ","統一證          ","1,000","0","1,000",
" ","3005  ","神基            ","2,000","1,000","1,000",
" ","6214  ","精誠            ","2,000","1,000","1,000",
" ","6592  ","和潤企業        ","1,000","0","1,000",
" ","9917  ","中保科          ","1,000","0","1,000",
" ","2912  ","統一超          ","1,760","1,000","760",
" ","5871  ","中租-KY         ","1,730","1,000","730",
" ","9910  ","豐泰            ","600","0","600",
" ","6669  ","緯穎            ","120","0","120",
" ","2603  ","長榮            ","1,696,000","6,971,000","-5,275,000",
" ","2313  ","華通            ","0","3,402,000","-3,402,000",
" ","2368  ","金像電          ","0","1,505,000","-1,505,000",
" ","2883  ","開發金          ","25,990","1,258,000","-1,232,010",
" ","2610  ","華航            ","0","1,200,000","-1,200,000",
" ","3189  ","景碩            ","0","1,169,000","-1,169,000",
" ","1605  ","華新            ","45,000","1,212,000","-1,167,000",
" ","4958  ","臻鼎-KY         ","59,000","1,183,000","-1,124,000",
" ","2492  ","華新科          ","34,000","1,104,000","-1,070,000",
" ","1736  ","喬山            ","0","888,000","-888,000",
" ","2890  ","永豐金          ","20,330","905,000","-884,670",
" ","6443  ","元晶            ","0","767,000","-767,000",
" ","2324  ","仁寶            ","27,000","655,000","-628,000",
" ","1402  ","遠東新          ","7,360","605,000","-597,640",
" ","3711  ","日月光投控      ","27,630","611,000","-583,370",
" ","3042  ","晶技            ","231,000","800,000","-569,000",
" ","6271  ","同欣電          ","1,000","558,654","-557,654",
" ","2356  ","英業達          ","20,000","550,000","-530,000",
" ","3596  ","智易            ","0","528,000","-528,000",
" ","2891  ","中信金          ","33,800","532,000","-498,200",
" ","2892  ","第一金          ","19,830","478,000","-458,170",
" ","4977  ","眾達-KY         ","0","428,000","-428,000",
" ","2382  ","廣達            ","19,640","434,000","-414,360",
" ","2886  ","兆豐金          ","20,880","406,000","-385,120",
" ","3231  ","緯創            ","18,000","402,000","-384,000",
" ","1101  ","台泥            ","22,920","402,000","-379,080",
" ","2609  ","陽明            ","0","350,000","-350,000",
" ","2882  ","國泰金          ","18,300","359,000","-340,700",
" ","2105  ","正新            ","2,510","302,000","-299,490",
" ","2301  ","光寶科          ","0","296,000","-296,000",
" ","4938  ","和碩            ","16,730","305,000","-288,270",
" ","3376  ","新日興          ","0","287,258","-287,258",
" ","3545  ","敦泰            ","15,000","292,000","-277,000",
" ","3661  ","世芯-KY         ","0","266,000","-266,000",
" ","9958  ","世紀鋼          ","0","250,000","-250,000",
" ","2347  ","聯強            ","9,000","238,000","-229,000",
" ","8028  ","昇陽半導體      ","0","213,000","-213,000",
" ","6743  ","安普新          ","0","201,000","-201,000",
" ","3533  ","嘉澤            ","0","193,000","-193,000",
" ","2881  ","富邦金          ","15,050","208,000","-192,950",
" ","2354  ","鴻準            ","0","186,000","-186,000",
" ","3406  ","玉晶光          ","0","183,000","-183,000",
" ","3653  ","健策            ","0","182,000","-182,000",
" ","6269  ","台郡            ","0","172,000","-172,000",
" ","4904  ","遠傳            ","11,180","173,000","-161,820",
" ","6213  ","聯茂            ","0","160,000","-160,000",
" ","1909  ","榮成            ","0","150,000","-150,000",
" ","2385  ","群光            ","4,000","140,000","-136,000",
" ","9938  ","百和            ","0","124,000","-124,000",
" ","3532  ","台勝科          ","1,000","123,000","-122,000",
" ","1216  ","統一            ","21,560","136,000","-114,440",
" ","4906  ","正文            ","0","110,000","-110,000",
" ","6239  ","力成            ","5,000","115,000","-110,000",
" ","4927  ","泰鼎-KY         ","0","100,000","-100,000",
" ","3045  ","台灣大          ","12,230","101,000","-88,770",
" ","2330  ","台積電          ","325,820","414,000","-88,180",
" ","2377  ","微星            ","5,000","90,000","-85,000",
" ","1477  ","聚陽            ","0","80,000","-80,000",
" ","3515  ","華擎            ","0","80,000","-80,000",
" ","5269  ","祥碩            ","0","66,000","-66,000",
" ","2456  ","奇力新          ","0","62,000","-62,000",
" ","2357  ","華碩            ","5,960","60,000","-54,040",
" ","2317  ","鴻海            ","16,310","70,000","-53,690",
" ","2412  ","中華電          ","29,200","82,000","-52,800",
" ","6176  ","瑞儀            ","1,000","53,000","-52,000",
" ","2201  ","裕隆            ","0","50,000","-50,000",
" ","2474  ","可成            ","990","49,000","-48,010",
" ","2723  ","美食-KY         ","0","48,000","-48,000",
" ","4551  ","智伸科          ","0","46,000","-46,000",
" ","6416  ","瑞祺電通        ","0","45,000","-45,000",
" ","2031  ","新光鋼          ","0","40,000","-40,000",
" ","9802  ","鈺齊-KY         ","26,000","64,000","-38,000",
" ","2881A ","富邦特          ","0","20,000","-20,000",
" ","8016  ","矽創            ","0","18,000","-18,000",
" ","2379  ","瑞昱            ","3,640","21,000","-17,360",
" ","6415  ","矽力-KY         ","80","16,000","-15,920",
" ","8464  ","億豐            ","0","13,000","-13,000",
" ","2888A ","新光金甲特      ","0","10,000","-10,000",
" ","1326  ","台化            ","7,680","17,000","-9,320",
" ","1817  ","凱撒衛          ","0","8,000","-8,000",
" ","3017  ","奇鋐            ","0","7,000","-7,000",
" ","2888  ","新光金          ","6,000","10,000","-4,000",
" ","2108  ","南帝            ","0","3,000","-3,000",
" ","2891C ","中信金丙特      ","0","3,000","-3,000",
" ","5215  ","科嘉-KY         ","0","3,000","-3,000",
" ","5534  ","長虹            ","0","3,000","-3,000",
" ","1229  ","聯華            ","0","2,000","-2,000",
" ","2404  ","漢唐            ","0","2,000","-2,000",
" ","3044  ","健鼎            ","0","2,000","-2,000",
" ","6230  ","超眾            ","0","2,000","-2,000",
" ","8112  ","至上            ","0","2,000","-2,000",
" ","3008  ","大立光          ","140","2,000","-1,860",
" ","1434  ","福懋            ","0","1,000","-1,000",
" ","1717  ","長興            ","0","1,000","-1,000",
" ","2823  ","中壽            ","2,000","3,000","-1,000",
" ","2834  ","臺企銀          ","3,000","4,000","-1,000",
" ","4137  ","麗豐-KY         ","0","1,000","-1,000",
