04月08日 投信買超
排行,代號,名稱,買進,賣出,買賣超(仟股)
"1","8086","宏捷科","734","32","702"
"2","6223","旺矽","700","0","700"
"3","3227","原相","508","1","507"
"4","3707","漢磊","495","0","495"
"5","6488","環球晶","377","1","376"
"6","8924","大田","250","10","240"
"7","3548","兆利","191","0","191"
"8","6121","新普","120","1","119"
"9","5263","智崴","101","0","101"
"10","8406","金可-KY","60","0","60"
"11","8446","華研","50","0","50"
"12","6732","昇佳電子","45","0","45"
"13","3680","家登","32","0","32"
"14","6683","雍智科技","30","0","30"
"15","8299","群聯","8","1","7"
